fullName,Player_learned_embedding,Total_Runs_Scored_per_match,Total_Runs_Scored_per_T20_match,strike_rate_Global,strike_rate_T20,avg_fours_per_T20_match,avg_sixes_per_T20_match,avg_fantasy_point_scored_in_T20_match,Balls_Played,Avg_Balls_Thrown_per_T20_match,avg_dot_balls_per_T20_match,avg_median_overs_per_T20_match,avg_run_conceded_per_T20,avg_wickets_taken_per_match,avg_economyRate_per_match,avg_fielding_FP,total_centuries,total_halftcenturies
Anuj Rawat,,13.75,13.75,94.251875,94.251875,1.0,0.6875,26.235294117647058,11.875,0.0,0.0,0.0,0.0,0.0,0.0,12.222222222222221,0.0,1.0
Anukul Roy,,4.6,4.6,73.14200000000001,73.14200000000001,0.6,0.0,27.444444444444443,4.2,17.0,5.833333333333333,3.0,21.833333333333332,0.8333333333333334,9.151666666666666,8.0,0.0,0.0
Anureet Singh,,4.5,4.5,64.58250000000001,64.58250000000001,0.25,0.125,30.272727272727273,5.875,18.727272727272727,6.909090909090909,3.75,28.318181818181817,0.8181818181818182,9.42090909090909,10.4,0.0,0.0
Anustup Majumdar,,21.75,21.75,114.75,114.75,1.75,0.5,31.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arindam Ghosh,,3.5,3.5,50.0,50.0,0.5,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Arjun Tendulkar,,13.0,13.0,144.44,144.44,0.0,1.0,29.0,9.0,14.75,6.5,2.25,23.0,0.75,8.8375,0.0,0.0,0.0
Arjun Yadav,,8.166666666666666,8.166666666666666,104.03166666666668,104.03166666666668,0.8333333333333334,0.3333333333333333,16.666666666666668,6.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Arshad Khan,,6.0,6.0,88.88666666666666,88.88666666666666,0.0,0.3333333333333333,28.166666666666668,5.0,14.166666666666666,4.5,2.1500000000000004,31.666666666666668,0.8333333333333334,13.658333333333333,8.0,0.0,0.0
Arshdeep Singh,,2.272727272727273,2.272727272727273,51.78181818181818,51.78181818181818,0.2727272727272727,0.0,37.23529411764706,3.3636363636363638,20.823529411764707,7.607843137254902,4.0,30.333333333333332,1.1176470588235294,8.900196078431373,8.88888888888889,0.0,0.0
Arun Karthik,,6.375,6.375,82.5,82.5,0.5,0.125,18.692307692307693,6.375,0.0,0.0,0.0,0.0,0.0,0.0,15.11111111111111,0.0,0.0
Asad Pathan,,5.571428571428571,5.571428571428571,131.66571428571427,131.66571428571427,0.7142857142857143,0.2857142857142857,14.285714285714286,3.2857142857142856,13.0,3.0,2.0,21.0,0.0,10.69,28.0,0.0,0.0
Ashish Nehra,,1.8636363636363635,1.8636363636363635,29.09090909090909,29.09090909090909,0.13636363636363635,0.045454545454545456,40.68181818181818,2.8181818181818183,21.681818181818183,9.409090909090908,4.0,28.352272727272727,1.2045454545454546,7.8219318181818185,9.058823529411764,0.0,0.0
Ashish Reddy,,12.173913043478262,12.173913043478262,137.5604347826087,137.5604347826087,0.7391304347826086,0.6086956521739131,38.25,8.391304347826088,13.1,4.15,2.0,19.8,0.9,9.643,9.11111111111111,0.0,0.0
Ashley Noffke,,9.0,9.0,90.0,90.0,1.0,0.0,37.0,10.0,24.0,7.0,4.0,40.0,1.0,10.0,0.0,0.0,0.0
Ashok Dinda,,1.5294117647058822,1.5294117647058822,46.07823529411765,46.07823529411765,0.11764705882352941,0.0,31.25,2.823529411764706,20.213333333333335,8.64,4.0,27.64,0.92,8.366933333333334,9.166666666666666,0.0,0.0
Ashok Menaria,,17.434782608695652,17.434782608695652,96.68826086956521,96.68826086956521,1.0434782608695652,0.782608695652174,27.53846153846154,15.478260869565217,9.166666666666666,3.3333333333333335,1.0,12.0,0.25,9.875,8.0,0.0,0.0
Ashton Turner,,0.75,0.75,10.7125,10.7125,0.0,0.0,3.25,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atharva Taide,,26.571428571428573,26.571428571428573,131.38000000000002,131.38000000000002,2.857142857142857,0.8571428571428571,45.42857142857143,18.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0
Avesh Khan,,4.428571428571429,4.428571428571429,148.57,148.57,0.2857142857142857,0.42857142857142855,38.46808510638298,2.857142857142857,21.404255319148938,8.787234042553191,4.0,30.80851063829787,1.1702127659574468,8.926595744680851,8.0,0.0,0.0
Axar Patel,,14.03960396039604,14.03960396039604,125.44475247524753,125.44475247524753,0.8712871287128713,0.6831683168316832,44.68115942028985,10.732673267326733,21.15671641791045,7.343283582089552,4.0,25.529850746268657,0.835820895522388,7.37044776119403,9.76923076923077,0.0,1.0
Ayush Badoni,,17.347826086956523,17.347826086956523,124.31739130434784,124.31739130434784,1.0434782608695652,0.8260869565217391,30.875,13.130434782608695,6.0,2.0,1.0,5.5,1.0,5.5,10.75,0.0,2.0
Azhar Bilakhia,,9.857142857142858,9.857142857142858,81.84285714285714,81.84285714285714,0.7142857142857143,0.0,15.142857142857142,12.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Azhar Mahmood,,18.476190476190474,18.476190476190474,107.31380952380952,107.31380952380952,1.8571428571428572,0.6190476190476191,64.0,14.428571428571429,23.347826086956523,8.956521739130435,4.0,30.434782608695652,1.2608695652173914,7.881304347826087,8.857142857142858,0.0,2.0
Baba Indrajith,,7.0,7.0,56.25,56.25,0.6666666666666666,0.0,17.666666666666668,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Balachandra Akhil,,6.909090909090909,6.909090909090909,115.22909090909091,115.22909090909091,0.45454545454545453,0.45454545454545453,22.6,5.0,14.461538461538462,5.0,3.0,18.615384615384617,0.46153846153846156,7.380769230769231,7.5,0.0,0.0
Barinder Sran,,1.1111111111111112,1.1111111111111112,60.0,60.0,0.0,0.0,24.833333333333332,1.5555555555555556,20.125,7.291666666666667,3.65,31.541666666666668,0.75,9.758333333333333,10.0,0.0,0.0
