Season,Teams,Date,Stadium,Time
IPL 2010,"DECCAN CHARGERS vs RAJASTHAN ROYALS, 36th match",N/A,"Vidarbha Cricket Association Stadium, Nagpur",
IPL 2010,"CHENNAI SUPER KINGS vs MUMBAI INDIANS, 37th match",N/A,"MA Chidambaram Stadium, Chennai",
IPL 2010,"RAJASTHAN ROYALS vs PUNJAB KINGS, 38th match",N/A,"Sawai Mansingh Stadium, Jaipur",
IPL 2010,"KOLKATA KNIGHT RIDERS vs DELHI CAPITALS, 39th match",N/A,"Eden Gardens, Kolkata",
IPL 2010,"ROYAL CHALLENGERS BENGALURU vs DECCAN CHARGERS, 40th match",N/A,"M.Chinnaswamy Stadium, Bengaluru",
IPL 2010,"PUNJAB KINGS vs MUMBAI INDIANS, 41st match",N/A,"Punjab Cricket Association IS Bindra Stadium, Mohali",
IPL 2010,"DECCAN CHARGERS vs CHENNAI SUPER KINGS, 42nd match",N/A,"Vidarbha Cricket Association Stadium, Nagpur",
IPL 2010,"ROYAL CHALLENGERS BENGALURU vs KOLKATA KNIGHT RIDERS, 43rd match",N/A,"M.Chinnaswamy Stadium, Bengaluru",
IPL 2010,"DELHI CAPITALS vs PUNJAB KINGS, 44th match",N/A,"Arun Jaitley Stadium, Delhi",
IPL 2010,"RAJASTHAN ROYALS vs MUMBAI INDIANS, 45th match",N/A,"Sawai Mansingh Stadium, Jaipur",
IPL 2010,"DECCAN CHARGERS vs ROYAL CHALLENGERS BENGALURU, 46th match",N/A,"Vidarbha Cricket Association Stadium, Nagpur",
IPL 2010,"MUMBAI INDIANS vs DELHI CAPITALS, 47th match",N/A,"Brabourne Stadium, Mumbai",
IPL 2010,"CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS, 48th match",N/A,"MA Chidambaram Stadium, Chennai",
IPL 2010,"RAJASTHAN ROYALS vs ROYAL CHALLENGERS BENGALURU, 49th match",N/A,"Sawai Mansingh Stadium, Jaipur",
IPL 2010,"CHENNAI SUPER KINGS vs DELHI CAPITALS, 50th match",N/A,"MA Chidambaram Stadium, Chennai",
IPL 2010,"PUNJAB KINGS vs DECCAN CHARGERS, 51st match",N/A,"Himachal Pradesh Cricket Association Stadium, Dharamsala",
IPL 2010,"ROYAL CHALLENGERS BENGALURU vs MUMBAI INDIANS, 52nd match",N/A,"M.Chinnaswamy Stadium, Bengaluru",
IPL 2010,"KOLKATA KNIGHT RIDERS vs RAJASTHAN ROYALS, 53rd match",N/A,"Eden Gardens, Kolkata",
IPL 2010,"PUNJAB KINGS vs CHENNAI SUPER KINGS, 54th match",N/A,"Himachal Pradesh Cricket Association Stadium, Dharamsala",
IPL 2010,"DELHI CAPITALS vs DECCAN CHARGERS, 55th match",N/A,"Arun Jaitley Stadium, Delhi",
IPL 2010,"KOLKATA KNIGHT RIDERS vs MUMBAI INDIANS, 56th match",N/A,"Eden Gardens, Kolkata",
IPL 2010,"ROYAL CHALLENGERS BENGALURU vs MUMBAI INDIANS, 1st Semi-Final",N/A,"Dr DY Patil Sports Academy, Navi Mumbai",
IPL 2010,"CHENNAI SUPER KINGS vs DECCAN CHARGERS, 2nd Semi-Final",N/A,"Dr DY Patil Sports Academy, Navi Mumbai",
IPL 2010,"ROYAL CHALLENGERS BENGALURU vs DECCAN CHARGERS, 3rd Place Play-off",N/A,"Dr DY Patil Sports Academy, Navi Mumbai",
IPL 2010,"CHENNAI SUPER KINGS vs MUMBAI INDIANS, Final",N/A,"Dr DY Patil Sports Academy, Navi Mumbai",
IPL 2010,The Times of India,N/A,N/A,N/A
IPL 2010,The Times of India,N/A,N/A,N/A
