player_id,name,matches,strike rate in all matches combined,Total Runs Scored in all matches combined,no. of fours,no. of sixes,highest runs scored in a match,Balls Played till now,no. of dot_balls,maiden_overs,run conceded,Average Economy Rate,no. of wickets,no. of balls thrown,highest wickets taken in a match,total centuries,total halfcenturies,total catches,total stumps,total direct_runouts,total indirect_runouts,total avg fp
d9273ee7,MP Stoinis,72,,1217,100,61,78,798,256,0,1059,9.035,44,726,4,0,5,23,0,0,0,52.181
45eda7c8,CA Lynn,18,118.428,291,28,14,44,220,0,0,0,0.0,0,0,0,0,0,3,0,0,0,30.5
b681e71e,GJ Maxwell,114,128.926,2552,212,132,145,1635,306,0,1324,0.0,43,973,3,5,14,50,0,2,5,57.293
a2421394,AC Agar,48,,277,19,9,29,271,363,1,1126,7.175,49,1018,6,0,0,32,0,0,0,52.438
dfc4d8b5,KW Richardson,35,,16,1,0,9,16,289,0,1023,8.352,44,732,4,0,0,14,0,0,1,45.513
1a156c88,DJM Short,23,113.888,642,71,15,76,539,30,0,152,0.0,3,114,1,0,4,8,0,0,0,55.261
2be41edb,MJ Guptill,121,122.052,3517,307,173,105,2577,3,0,11,0.0,0,6,0,2,22,68,0,3,2,57.19
dcce6f09,DA Warner,108,126.845,3254,333,122,100,2271,0,0,0,0.0,0,0,0,1,29,59,0,0,1,58.76
69d03465,AT Carey,38,,233,19,7,37,215,0,0,0,0.0,0,0,0,0,0,19,9,1,0,16.921
a15618fe,JM Vince,16,118.95,441,43,14,59,343,0,0,0,0.0,0,0,0,0,2,7,0,1,1,51.688
4663bd23,TL Seifert,61,108.726,1305,113,58,88,964,0,0,0,0.0,0,0,0,0,9,35,8,0,0,43.688
7fa12533,MS Chapman,75,113.037,1509,128,58,104,1117,24,0,76,0.0,3,66,1,1,9,26,0,0,1,38.8
9c376401,CS MacLeod,51,91.827,930,83,15,74,838,47,0,183,8.918,3,138,1,0,4,29,0,3,1,36.315
e21bc7f3,RD Berrington,76,110.969,1766,138,64,82,1329,124,0,525,0.0,22,406,3,0,9,17,0,1,3,50.527
a2eac9df,Waqas Barkat,27,86.233,253,19,0,37,271,63,0,250,8.705,6,188,2,0,0,8,0,0,0,23.482
85d8110a,KJ Coetzer,52,108.364,1210,128,43,89,954,8,0,16,0.0,2,18,2,0,6,15,0,1,2,45.153
7b5c6c0b,CD Wallace,14,0.0,104,7,3,27,106,0,0,0,0.0,0,0,0,0,0,1,1,0,0,12.286
35971419,Waqas Khan,16,69.439,164,6,5,60,189,1,0,12,0.0,0,6,0,0,1,1,0,0,0,14.437
d3868bd0,JH Davey,26,,104,7,4,24,75,209,0,777,8.311,31,557,4,0,0,13,0,0,1,50.386
8b261d84,MH Cross,66,,1064,99,25,61,923,0,0,0,0.0,0,0,0,0,3,43,15,1,12,35.305
1252f71a,MRJ Watt,63,,241,20,5,31,204,523,3,1573,6.992,75,1345,4,0,0,13,0,0,2,52.018
f43dd8c2,SM Sharif,59,,168,9,5,26,150,463,1,1640,8.261,68,1202,4,0,0,14,0,3,3,47.646
