match_id,season,match_name,venue,home_team,away_team
1175369,2019,RR v RCB,"Sawai Mansingh Stadium, Jaipur",RR,RCB
1175370,2019,MI v CSK,"Wankhede Stadium, Mumbai",MI,CSK
1175371,2019,DC v SRH,"Arun Jaitley Stadium, Delhi",DC,SRH
1175372,2019,RCB v KKR,"M.Chinnaswamy Stadium, Bengaluru",RCB,KKR
1178393,2019,CSK v PBKS,"MA Chidambaram Stadium, Chepauk, Chennai",CSK,PBKS
1178394,2019,SRH v MI,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,MI
1178395,2019,RCB v DC,"M.Chinnaswamy Stadium, Bengaluru",RCB,DC
1178396,2019,RR v KKR,"Sawai Mansingh Stadium, Jaipur",RR,KKR
1178397,2019,PBKS v SRH,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",PBKS,SRH
1178398,2019,CSK v KKR,"MA Chidambaram Stadium, Chepauk, Chennai",CSK,KKR
1178399,2019,MI v PBKS,"Wankhede Stadium, Mumbai",MI,PBKS
1178400,2019,RR v CSK,"Sawai Mansingh Stadium, Jaipur",RR,CSK
1178401,2019,KKR v DC,"Eden Gardens, Kolkata",KKR,DC
1178402,2019,MI v RR,"Wankhede Stadium, Mumbai",MI,RR
1178403,2019,PBKS v RCB,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",PBKS,RCB
1178404,2019,KKR v CSK,"Eden Gardens, Kolkata",KKR,CSK
1178405,2019,SRH v DC,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,DC
1178406,2019,MI v RCB,"Wankhede Stadium, Mumbai",MI,RCB
1178407,2019,PBKS v RR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",PBKS,RR
1178408,2019,SRH v CSK,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,CSK
1178409,2019,DC v MI,"Arun Jaitley Stadium, Delhi",DC,MI
1178410,2019,KKR v RCB,"Eden Gardens, Kolkata",KKR,RCB
1178411,2019,RR v MI,"Sawai Mansingh Stadium, Jaipur",RR,MI
1178412,2019,DC v PBKS,"Arun Jaitley Stadium, Delhi",DC,PBKS
1178413,2019,SRH v KKR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,KKR
1178414,2019,RCB v CSK,"M.Chinnaswamy Stadium, Bengaluru",RCB,CSK
1178415,2019,RR v DC,"Sawai Mansingh Stadium, Jaipur",RR,DC
1178416,2019,CSK v SRH,"MA Chidambaram Stadium, Chepauk, Chennai",CSK,SRH
1178417,2019,RCB v PBKS,"M.Chinnaswamy Stadium, Bengaluru",RCB,PBKS
1178418,2019,KKR v RR,"Eden Gardens, Kolkata",KKR,RR
1178419,2019,CSK v MI,"MA Chidambaram Stadium, Chepauk, Chennai",CSK,MI
1178420,2019,RR v SRH,"Sawai Mansingh Stadium, Jaipur",RR,SRH
1178421,2019,DC v RCB,"Arun Jaitley Stadium, Delhi",DC,RCB
1178422,2019,KKR v MI,"Eden Gardens, Kolkata",KKR,MI
1178423,2019,SRH v PBKS,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,PBKS
1178424,2019,RCB v RR,"M.Chinnaswamy Stadium, Bengaluru",RCB,RR
1178425,2019,CSK v DC,"MA Chidambaram Stadium, Chepauk, Chennai",CSK,DC
1178426,2019,MI v SRH,"Wankhede Stadium, Mumbai",MI,SRH
1178427,2019,PBKS v KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",PBKS,KKR
1178428,2019,DC v RR,"Arun Jaitley Stadium, Delhi",DC,RR
1178429,2019,RCB v SRH,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH
1178430,2019,PBKS v CSK,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",PBKS,CSK
