season,match_id,match_name,home_team,away_team,venue,batting_team,bowling_innings,bowling_team,fullName,catching_FP,stumping_FP,direct_runout_FP,indirect_runout_FP,Fielding_FP
2023,1359526,RR v SRH,RR,SRH,"Sawai Mansingh Stadium, Jaipur",SRH,2,RR,Jos Buttler,8,0,0,0,8
2023,1359526,RR v SRH,RR,SRH,"Sawai Mansingh Stadium, Jaipur",SRH,2,RR,Shimron Hetmyer,16,0,0,0,16
2023,1359526,RR v SRH,RR,SRH,"Sawai Mansingh Stadium, Jaipur",SRH,2,RR,Yashasvi Jaiswal,8,0,0,0,8
2023,1359526,RR v SRH,RR,SRH,"Sawai Mansingh Stadium, Jaipur",SRH,2,RR,Yuzvendra Chahal,8,0,0,0,8
2023,1359525,GT v LSG,GT,LSG,"Narendra Modi Stadium, Motera, Ahmedabad",GT,1,LSG,Krunal Pandya,8,0,0,0,8
2023,1359525,GT v LSG,GT,LSG,"Narendra Modi Stadium, Motera, Ahmedabad",GT,1,LSG,substitute_catch,8,0,0,0,8
2023,1359525,GT v LSG,GT,LSG,"Narendra Modi Stadium, Motera, Ahmedabad",LSG,2,GT,David Miller,8,0,0,0,8
2023,1359525,GT v LSG,GT,LSG,"Narendra Modi Stadium, Motera, Ahmedabad",LSG,2,GT,Mohammed Shami,16,0,0,0,16
2023,1359525,GT v LSG,GT,LSG,"Narendra Modi Stadium, Motera, Ahmedabad",LSG,2,GT,Noor Ahmad,8,0,0,0,8
2023,1359525,GT v LSG,GT,LSG,"Narendra Modi Stadium, Motera, Ahmedabad",LSG,2,GT,Rahul Tewatia,8,0,0,0,8
2023,1359525,GT v LSG,GT,LSG,"Narendra Modi Stadium, Motera, Ahmedabad",LSG,2,GT,Rashid Khan,8,0,0,0,8
2023,1359524,DC v RCB,DC,RCB,"Arun Jaitley Stadium, Delhi",RCB,1,DC,Axar Patel,8,0,0,0,8
2023,1359524,DC v RCB,DC,RCB,"Arun Jaitley Stadium, Delhi",RCB,1,DC,David Warner,8,0,0,0,8
2023,1359524,DC v RCB,DC,RCB,"Arun Jaitley Stadium, Delhi",RCB,1,DC,Khaleel Ahmed,8,0,0,0,8
2023,1359524,DC v RCB,DC,RCB,"Arun Jaitley Stadium, Delhi",RCB,1,DC,Phil Salt,8,0,0,0,8
2023,1359524,DC v RCB,DC,RCB,"Arun Jaitley Stadium, Delhi",DC,2,RCB,Faf du Plessis,8,0,0,0,8
2023,1359524,DC v RCB,DC,RCB,"Arun Jaitley Stadium, Delhi",DC,2,RCB,Mahipal Lomror,8,0,0,0,8
