season,match_id,match_name,home_team,away_team,batting_team,bowling_team,venue,bowling_innings,fullName,overs,total_balls,dots,maidens,conceded,foursConceded,sixesConceded,wickets,economyRate,wides,noballs,LBW,Hitwicket,CaughtBowled,Bowled,Overs_Bowled,Bowling_FP
2023,1359481,DC v GT,DC,GT,GT,DC,"Arun Jaitley Stadium, Delhi",2,Khaleel Ahmed,4.0,24,9,0,38,5,1,1,9.5,1,0,0,0,0,0,"[1, 6, 12, 18]",25
2023,1359481,DC v GT,DC,GT,GT,DC,"Arun Jaitley Stadium, Delhi",2,Mukesh Kumar,4.0,24,8,0,42,5,2,0,10.5,1,0,0,0,0,0,"[2, 4, 9, 16]",-2
2023,1359481,DC v GT,DC,GT,GT,DC,"Arun Jaitley Stadium, Delhi",2,Anrich Nortje,4.0,24,9,0,39,3,2,2,9.75,0,2,0,0,0,2,"[3, 5, 13, 17]",66
2023,1359481,DC v GT,DC,GT,GT,DC,"Arun Jaitley Stadium, Delhi",2,Mitchell Marsh,3.1,19,4,0,24,1,0,1,7.57,1,0,1,0,0,0,"[7, 11, 14, 19]",33
2023,1359481,DC v GT,DC,GT,GT,DC,"Arun Jaitley Stadium, Delhi",2,Kuldeep Yadav,3.0,18,5,0,18,1,0,0,6.0,1,0,0,0,0,0,"[8, 10, 15]",2
2023,1359482,RR v PBKS,RR,PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",1,Trent Boult,4.0,24,8,0,38,3,2,0,9.5,1,0,0,0,0,0,"[1, 3, 9, 15]",0
2023,1359482,RR v PBKS,RR,PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",1,KM Asif,4.0,24,7,0,54,5,3,0,13.5,3,1,0,0,0,0,"[2, 4, 13, 19]",-6
2023,1359482,RR v PBKS,RR,PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",1,Ravichandran Ashwin,4.0,24,7,0,25,2,0,1,6.25,1,0,0,0,0,1,"[5, 7, 11, 17]",35
2023,1359482,RR v PBKS,RR,PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",1,Jason Holder,4.0,24,7,0,29,2,1,2,7.25,0,0,0,0,0,0,"[6, 10, 18, 20]",50
2023,1359482,RR v PBKS,RR,PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",1,Yuzvendra Chahal,4.0,24,5,0,50,7,1,1,12.5,1,0,0,0,0,0,"[8, 12, 14, 16]",19
2023,1359482,RR v PBKS,RR,PBKS,RR,PBKS,"Barsapara Cricket Stadium, Guwahati",2,Sam Curran,4.0,24,7,0,44,3,3,0,11.0,0,0,0,0,0,0,"[1, 3, 18, 20]",-2
2023,1359482,RR v PBKS,RR,PBKS,RR,PBKS,"Barsapara Cricket Stadium, Guwahati",2,Arshdeep Singh,4.0,24,10,0,47,4,3,2,11.75,3,0,0,0,0,0,"[2, 4, 14, 19]",46
2023,1359482,RR v PBKS,RR,PBKS,RR,PBKS,"Barsapara Cricket Stadium, Guwahati",2,Harpreet Brar,2.0,12,5,0,15,2,0,0,7.5,0,0,0,0,0,0,"[5, 7]",0
2023,1359482,RR v PBKS,RR,PBKS,RR,PBKS,"Barsapara Cricket Stadium, Guwahati",2,Nathan Ellis,4.0,24,11,0,30,2,2,4,7.5,0,0,0,0,1,1,"[6, 11, 15, 17]",124
2023,1359482,RR v PBKS,RR,PBKS,RR,PBKS,"Barsapara Cricket Stadium, Guwahati",2,Rahul Chahar,4.0,24,5,0,31,1,1,0,7.75,0,0,0,0,0,0,"[8, 10, 12, 16]",0
2023,1359482,RR v PBKS,RR,PBKS,RR,PBKS,"Barsapara Cricket Stadium, Guwahati",2,Sikandar Raza,2.0,12,2,0,24,1,1,0,12.0,2,0,0,0,0,0,"[9, 13]",-4
2023,1359483,KKR v RCB,KKR,RCB,KKR,RCB,"Eden Gardens, Kolkata",1,Mohammed Siraj,4.0,24,13,0,44,6,1,1,11.0,3,1,0,0,0,0,"[1, 3, 18, 20]",23
2023,1359483,KKR v RCB,KKR,RCB,KKR,RCB,"Eden Gardens, Kolkata",1,David Willey,4.0,24,15,1,16,2,0,2,4.0,1,0,0,0,0,2,"[2, 4, 6, 16]",84
2023,1359483,KKR v RCB,KKR,RCB,KKR,RCB,"Eden Gardens, Kolkata",1,Akash Deep,2.0,12,4,0,30,2,2,0,15.0,1,2,0,0,0,0,"[5, 13]",-6
2023,1359483,KKR v RCB,KKR,RCB,KKR,RCB,"Eden Gardens, Kolkata",1,Michael Bracewell,3.0,18,3,0,34,1,3,1,11.33,0,0,0,0,0,0,"[7, 9, 15]",21
2023,1359483,KKR v RCB,KKR,RCB,KKR,RCB,"Eden Gardens, Kolkata",1,Shahbaz Ahmed,1.0,6,3,0,6,1,0,0,6.0,0,0,0,0,0,0,[8],0
2023,1359483,KKR v RCB,KKR,RCB,KKR,RCB,"Eden Gardens, Kolkata",1,Karn Sharma,3.0,18,6,0,26,2,1,2,8.66,0,0,0,0,0,0,"[10, 12, 14]",50
2023,1359483,KKR v RCB,KKR,RCB,KKR,RCB,"Eden Gardens, Kolkata",1,Harshal Patel,3.0,18,5,0,38,4,2,1,12.66,1,0,0,0,0,0,"[11, 17, 19]",19
2023,1359483,KKR v RCB,KKR,RCB,RCB,KKR,"Eden Gardens, Kolkata",2,Umesh Yadav,2.0,12,5,0,17,3,0,0,8.5,0,0,0,0,0,0,"[1, 3]",0
2023,1359483,KKR v RCB,KKR,RCB,RCB,KKR,"Eden Gardens, Kolkata",2,Tim Southee,2.0,12,5,0,25,2,2,0,12.5,0,0,0,0,0,0,"[2, 4]",-6
2023,1359483,KKR v RCB,KKR,RCB,RCB,KKR,"Eden Gardens, Kolkata",2,Sunil Narine,4.0,24,12,0,16,1,0,2,4.0,0,0,0,0,0,1,"[5, 7, 9, 16]",64
2023,1359483,KKR v RCB,KKR,RCB,RCB,KKR,"Eden Gardens, Kolkata",2,Varun Chakravarthy,3.4,22,13,0,15,2,0,4,4.09,0,0,0,0,1,3,"[6, 8, 10, 18]",146
2023,1359483,KKR v RCB,KKR,RCB,RCB,KKR,"Eden Gardens, Kolkata",2,Suyash Sharma,4.0,24,11,0,30,2,2,3,7.5,1,0,0,0,0,0,"[11, 13, 15, 17]",79
2023,1359483,KKR v RCB,KKR,RCB,RCB,KKR,"Eden Gardens, Kolkata",2,Shardul Thakur,2.0,12,4,0,15,2,0,1,7.5,0,0,0,0,0,0,"[12, 14]",25
2023,1359484,LSG v SRH,LSG,SRH,SRH,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Kyle Mayers,1.0,6,1,0,5,0,0,0,5.0,0,0,0,0,0,0,[1],0
2023,1359484,LSG v SRH,LSG,SRH,SRH,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Jaydev Unadkat,3.0,18,9,0,26,0,3,0,8.66,1,0,0,0,0,0,"[2, 4, 20]",0
2023,1359484,LSG v SRH,LSG,SRH,SRH,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Krunal Pandya,4.0,24,15,0,18,3,0,3,4.5,0,0,1,0,0,1,"[3, 5, 8, 16]",101
2023,1359484,LSG v SRH,LSG,SRH,SRH,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Yash Thakur,3.0,18,6,0,23,3,0,1,7.66,0,0,0,0,0,0,"[6, 12, 18]",25
2023,1359484,LSG v SRH,LSG,SRH,SRH,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Ravi Bishnoi,4.0,24,10,0,16,0,0,1,4.0,1,0,0,0,0,0,"[7, 9, 11, 14]",31
2023,1359484,LSG v SRH,LSG,SRH,SRH,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Deepak Hooda,1.0,6,1,0,8,1,0,0,8.0,0,0,0,0,0,0,[10],0
2023,1359484,LSG v SRH,LSG,SRH,SRH,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Amit Mishra,4.0,24,10,0,23,3,0,2,5.75,0,0,0,0,0,0,"[13, 15, 17, 19]",54
