match_id,match_number,team1,team2,toss_winner,toss_decision,winner,venue_id,matches,total_runs,total_wickets,bowled_wickets,caught_wickets,lbw_wickets,precipitation,temperature_2m,relative_humidity_2m,dew_point_2m,rain,wind_speed_100m
1152568,58.0,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,field,Melbourne Renegades,1177,69,10067,853,151,556,52,0.0,17.585001,80.20371,14.054998,0.0,17.563942
1152569,59.0,Melbourne Stars,Melbourne Renegades,Melbourne Stars,field,Melbourne Renegades,1177,69,10067,853,151,556,52,0.0,28.265003,30.048023,9.065,0.0,14.158495
1195573,1.0,Brisbane Heat,Sydney Thunder,Sydney Thunder,bat,Sydney Thunder,209,71,10608,908,129,636,40,0.0,22.416002,62.38877,14.846001,0.0,23.880873
1195574,2.0,Sydney Sixers,Perth Scorchers,Sydney Sixers,field,Sydney Sixers,132,83,11551,1025,179,667,60,0.0,21.166998,73.31006,16.117,0.0,31.354237
1195575,3.0,Melbourne Renegades,Sydney Thunder,Melbourne Renegades,bat,Sydney Thunder,564,18,2222,225,42,150,19,0.0,16.4245,76.516075,12.144501,0.0,16.862982
1195576,4.0,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,bat,Hobart Hurricanes,1301,2,215,32,7,19,3,0.0,38.633003,16.791754,8.893,0.0,25.697144
1195577,5.0,Brisbane Heat,Melbourne Stars,Brisbane Heat,field,Melbourne Stars,950,20,2818,269,39,186,19,0.0,22.8055,85.2991,20.175499,0.0,6.462477
1195578,6.0,Sydney Thunder,Adelaide Strikers,Sydney Thunder,field,,757,32,4620,379,79,242,26,0.0,28.514002,39.17736,10.994,0.0,23.546963
1195579,7.0,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,field,Perth Scorchers,3404,48,7033,611,85,429,28,0.0,22.571,66.85328,15.911001,0.0,37.257637
1195580,8.0,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,bat,Melbourne Stars,3466,2,270,25,10,13,0,0.0,22.958002,41.422394,9.038,0.0,13.968434
1195581,9.0,Sydney Sixers,Brisbane Heat,Sydney Sixers,field,Brisbane Heat,132,83,11551,1025,179,667,60,0.0,19.507,66.38951,13.057001,0.0,21.836569
1195582,10.0,Adelaide Strikers,Perth Scorchers,Perth Scorchers,field,Adelaide Strikers,131,90,13595,1085,211,719,76,0.0,24.34,36.25364,7.95,0.0,15.016989
