venue_id,venue_lat,venue_long,venue_name,matches,total_runs,total_wickets,bowled_wickets,caught_wickets,lbw_wickets
3692,26.870556,90.485558,Gelephu International Cricket Ground,9,921,118,25,64,11
1068,-1.28333,36.81667,"Ruaraka Sports Club Ground, Nairobi",6,780,85,27,33,12
3694,-15.78499,35.00854,"TCA Oval, Blantyre",3,266,38,8,23,3
1715,0.43902,33.20317,Jinja Cricket Ground,2,168,25,9,10,4
3700,6.45407,3.39467,"Nigeria Cricket Federation Oval 1, Abuja",7,707,83,34,25,10
3701,6.45407,3.39467,"Nigeria Cricket Federation Oval 2, Abuja",8,750,107,34,48,15
3693,1.28967,103.85007,Singapore National Cricket Ground,4,446,43,14,21,4
152,-43.541943,172.654282,"AMI Stadium, Christchurch",3,491,38,14,13,6
213,-31.959843,115.879799,"Western Australia Cricket Association Ground, Perth",36,5046,421,60,284,18
703,-28.742569,24.797304,"De Beers Diamond Oval, Kimberley",20,2959,236,38,143,13
2539,-29.828316,31.029938,"Moses Mabhida Stadium, Durban",1,150,15,3,8,2
1803,-33.84697,151.0634,"Stadium Australia, Sydney",17,2286,214,43,132,7
2502,6.353873,81.026886,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",7,752,90,18,43,8
614,39.658871,-4.04374,Mombasa Sports Club Ground,3,318,41,8,21,3
416,6.919412,79.883888,"P Sara Oval, Colombo",1,66,20,4,8,2
2177,-19.31745,146.731796,"Tony Ireland Stadium, Townsville",2,193,32,6,24,2
1930,22.844736,89.537048,"Sheikh Abu Naser Stadium, Khulna",11,1619,140,41,75,6
1844,23.627781,90.493126,"Khan Shaheb Osman Ali Stadium, Fatullah",2,312,25,6,11,2
393,18.932098,72.824913,"Brabourne Stadium, Mumbai",27,4374,337,60,210,23
2361,19.042145,73.026726,"Dr DY Patil Sports Academy, Mumbai",37,5338,479,60,343,22
3585,30.67995,76.72211,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5,795,80,10,56,4
1056,9.997727,76.301437,"Nehru Stadium, Kochi",18,2192,238,47,135,14
2937,18.0648231,83.4065571,"Dr PVG Raju ACA Sports Complex, Vizianagaram",12,1844,166,22,103,13
2995,22.497585,88.372147,"Jadavpur University Campus 2nd Ground, Kolkata",11,1597,147,17,91,9
3441,16.6088,80.4702,"Devineni Venkata Ramana Praneetha Ground, Mulapadu",23,2877,291,47,161,26
3452,16.6088,80.4702,"Chukkapalli Pitchaiah Cricket Ground, Mulapadu",8,1261,74,10,43,8
1012,20.91667,73.05,"Lalabhai Contractor Stadium, Surat",32,4272,390,81,198,36
3471,20.91667,73.05,"CB Patel International Cricket Stadium, Surat",25,3042,312,40,183,20
2139,22.71792,75.8333,"Emerald High School Ground, Indore",22,2962,290,40,171,25
2669,20.56143,85.99182,"DRIEMS Ground, Tangi, Cuttack",17,2436,192,24,129,16
527,28.65381,77.22897,"Palam A Ground, Model Sports Complex, Delhi",21,2260,227,48,116,26
1921,28.65381,77.22897,"Palam B Ground, Model Sports Complex, Delhi",14,1680,146,32,70,16
3345,8.562,76.8495,"St Xavier's College Ground, Thumba",7,713,84,8,55,4
621,30.741581,76.775055,"Sector 16 Stadium, Chandigarh",13,1550,133,21,78,11
3510,30.7121573,76.7234647,Government Model Senior Secondary School,12,1755,150,23,106,7
2409,19.067115,72.8657245,"Bandra Kurla Complex, Mumbai",22,2810,256,34,173,14
2702,13.088998,77.447342,"KSCA Cricket Ground, Alur",6,869,67,11,37,9
3269,12.97601,75.98485,"KSCA Cricket (2) Ground, Alur",5,660,61,12,34,6
2945,12.97601,75.98485,"KSCA Cricket (3) Ground, Alur",4,582,35,4,25,2
1929,22.56263,88.36304,"Jadavpur University Complex, Kolkata",4,598,42,5,28,2
515,22.289972,73.190086,"Moti Bagh Stadium, Vadodara",13,1395,199,30,123,12
3552,22.29941,73.20812,"F.B. Colony Ground, Vadodara",11,1465,139,19,94,7
991,22.34844,73.140457,"Reliance Stadium, Vadodara",18,2418,236,27,157,13
3135,13.08784,80.27847,"Sri Sivasubramaniya Nadar College of Engineering Ground, Chennai",5,470,68,9,34,10
2484,13.126188,80.114609,"TI Cycles Ground, Murugappa, Chennai",5,552,70,13,36,9
1872,13.08784,80.27847,"Sri Ramachandra Medical College Ground, Chennai",5,542,36,4,24,2
1042,13.08784,80.27847,"India Cement Limited Guru Nanak College Ground, Chennai",3,410,41,7,24,2
3517,26.8113,81.0169,Ekana Cricket Stadium B Ground,5,686,68,7,40,6
686,26.180126,91.758118,"Nehru Stadium, Guwahati",4,491,56,12,26,6
3575,26.25996,82.07314,"Gurgaon Cricket Ground (SRNCC), Sultanpur",8,1164,103,22,52,8
2112,28.8524,76.45472,"CH Bansi Lal Cricket Stadium, Lahli, Rohtak",4,570,53,6,36,3
3576,16.40348,80.55846,"Andhra Cricket Association Stadium, Mangalagiri",7,889,82,13,42,7
3191,30.32295,78.03168,"Abhimanyu Cricket Academy, Dehradun",10,1277,114,39,47,18
367,21.157253,79.076088,"Vidarbha Cricket Association Ground, Nagpur",7,832,89,12,63,6
3047,9.93988,76.26022,"St Paul's College Ground, Kochi",7,865,94,15,64,4
1908,22.29941,73.20812,"Alembic Ground, Vadodara",3,465,35,4,23,3
2967,-33.843254,151.06749,Sydney Showground Stadium,37,4826,441,80,285,34
1177,-37.816391,144.94751,"Docklands Stadium, Melbourne",69,10067,853,151,556,52
3009,-41.43876,147.13467,"Aurora Stadium, Launceston",11,1383,139,19,96,14
1301,-23.709005,133.875046,"Traeger Park, Alice Springs",2,215,32,7,19,3
1344,-38.14711,144.36069,Geelong Cricket Ground,1,138,14,2,9,3
3466,-38.1825088,146.257197,"Ted Summerton Reserve, Moe",2,270,25,10,13,0
1599,-30.323004,153.095718,"International Sports Stadium, Coffs Harbour",4,607,44,10,30,1
417,-37.855984,144.980164,"Junction Oval, Melbourne",2,338,33,5,23,2
1066,-16.935534,145.749069,"Cazaly's Stadium, Cairns",1,148,13,2,10,0
938,-36.034893,146.912201,"Lavington Sports Oval, Albury",2,344,31,8,19,0
952,-33.831888,151.2093253,"North Sydney Oval, Sydney",1,69,6,2,4,0
476,22.34642,91.824219,"MA Aziz Stadium, Chittagong",7,952,109,22,56,6
197,-29.610365,30.380833,"City Oval, Pietermaritzburg",2,318,20,4,12,2
3329,59.2957494,18.1082259,"Skarpnack 1, Stockholm",2,162,15,4,7,2
3331,59.296744,18.0982035,"Skarpnack 2, Stockholm",2,180,32,8,17,1
2179,,,Johor Cricket Academy Oval,3,331,26,5,10,4
2118,-1.28333,36.81667,"Jaffery Sports Club Ground, Nairobi",2,259,26,2,21,1
2546,56.11903,-3.93682,"New Williamfield No1 Oval, Stirling",4,491,41,12,17,5
2562,0.0,0.0,"Windho ek Afrikaans Primary School Ground, Windhoek",1,85,11,3,6,2
2586,0.0,0.0,"Asian Institute of Technology Ground, Bangkok",15,1081,167,42,78,22
2446,29.287975,47.827141,"Sulabiya Ground, Kuwait City",8,915,117,31,61,8
2243,29.353086,47.812904,"Tack-Tec Ground, Kuwait City",9,1064,104,33,56,9
3450,-18.147393,178.4250507,"Albert Park 1, Suva",5,610,78,14,46,3
3451,-18.147393,178.4250507,"Albert Park 2, Suva",6,803,77,17,47,9
2180,52.255,6.16389,"Sportpark Het Schootsveld 2, Deventer",1,131,11,2,8,1
1324,51.9313172,4.3942739,"Sportpark Thurlede, Schiedam",6,568,78,17,35,11
3456,35.8449871,-78.8442191,"Church Street Park, Morrisville",10,778,109,34,44,15
2588,22.3050658,114.1740021,Hong Kong Cricket Club,1,99,15,8,6,1
2612,-24.65451,25.90859,"Botswana Cricket Association Oval 2, Gaborone",8,905,103,30,52,6
2611,-24.65451,25.90859,"Botswana Cricket Association Oval 1, Gaborone",7,722,79,28,44,7
3464,14.32944,120.93667,"Friendship Oval, Dasmarinas",11,1254,149,43,88,12
2382,31.70377,-98.12392,"Sea Breeze Oval, Hamilton",1,168,16,3,8,1
1996,0.0,0.0,"YMCA Cricket Club, Dublin",3,311,35,4,18,2
1410,0.0,0.0,"Merrion Cricket Club Ground, Dublin",3,176,36,15,8,4
1992,,,"The Vineyard, Dublin",2,150,29,9,10,3
2504,55.92131,25.22233,Al Dhaid Cricket Village,3,452,54,11,29,6
834,55.9279083,-3.2228185,"Myreside, Edinburgh",4,496,56,12,31,3
2871,0.0,0.0,"Sheikh Kamal International Cricket Stadium, Cox's Bazar",2,166,20,4,7,2
318,51.731819,0.468019,"County Ground, Chelmsford",68,10923,872,184,559,48
110,51.9,-2.08333,"College Ground, Cheltenham",17,2324,218,33,149,16
216,52.189209,-2.22666,"County Ground, New Road, Worcester",66,10304,784,139,537,45
232,52.248531,-0.871331,"County Ground, Northampton",70,10962,850,154,592,42
214,53.2331484,-1.433942,"Queen's Park, Chesterfield",10,1432,137,25,84,13
953,-0.5565472133965912,50.85850337601525,Arundel Castle Cricket Club Ground,4,554,44,13,24,5
144,53.3645118,-2.9266096,"Aigburth, Liverpool",2,263,22,2,13,5
479,51.40878,-0.02526,"Kent County Cricket Ground, Beckenham",7,1121,83,13,60,3
112,50.82999,-0.164167,"County Ground, Hove",70,10529,896,187,567,63
789,-0.47,51.553611,Uxbridge Cricket Club Ground,6,951,74,15,49,2
47,51.267605,1.091778,"St Lawrence Ground, Canterbury",67,10298,817,177,513,48
1241,51.4670716,-0.3100054,"Old Deer Park, Richmond",7,1071,82,17,58,7
195,52.607582,-1.142824,"Grace Road, Leicester",69,9927,850,186,533,47
108,52.927433,-1.45882,"County Ground, Derby",51,7600,639,117,427,36
2116,51.6759945,-0.3088817,"Radlett Cricket Club, Radlett",8,1345,103,16,73,4
235,53.8147056,-3.0228394,"Stanley Park, Blackpool",3,397,32,1,25,2
2036,50.74102,-1.31192,"Merchant Taylors' School Ground, Northwood",4,703,51,8,31,2
287,51.88921,0.90421,"Castle Park Cricket Ground, Colchester",1,172,16,2,12,0
220,51.122303,0.26826,"Nevill Ground, Tunbridge Wells",2,347,25,9,12,1
